t_rel_ns,kind,slot,value_deg
562330265,CMD,3,0.0000
568342747,CMD,0,5.0000
568342747,CMD,1,0.0000
568342747,CMD,2,0.0000
568342747,CMD,3,0.0000
574330232,CMD,0,5.0000
574330232,CMD,1,0.0000
574330232,CMD,2,0.0000
574330232,CMD,3,0.0000
580329413,CMD,0,5.0000
580329413,CMD,1,0.0000
580329413,CMD,2,0.0000
580329413,CMD,3,0.0000
586320812,CMD,0,5.0000
586320812,CMD,1,0.0000
586320812,CMD,2,0.0000
586320812,CMD,3,0.0000
592320877,CMD,0,5.0000
592320877,CMD,1,0.0000
592320877,CMD,2,0.0000
592320877,CMD,3,0.0000
598329737,CMD,0,5.0000
598329737,CMD,1,0.0000
598329737,CMD,2,0.0000
598329737,CMD,3,0.0000
604324447,CMD,0,5.0000
604324447,CMD,1,0.0000
604324447,CMD,2,0.0000
604324447,CMD,3,0.0000
610317069,CMD,0,5.0000
610317069,CMD,1,0.0000
610317069,CMD,2,0.0000
610317069,CMD,3,0.0000
616330467,CMD,0,5.0000
616330467,CMD,1,0.0000
616330467,CMD,2,0.0000
616330467,CMD,3,0.0000
622337002,CMD,0,5.0000
622337002,CMD,1,0.0000
622337002,CMD,2,0.0000
622337002,CMD,3,0.0000
628335129,CMD,0,5.0000
628335129,CMD,1,0.0000
628335129,CMD,2,0.0000
628335129,CMD,3,0.0000
634328839,CMD,0,5.0000
634328839,CMD,1,0.0000
634328839,CMD,2,0.0000
634328839,CMD,3,0.0000
640337808,CMD,0,5.0000
640337808,CMD,1,0.0000
640337808,CMD,2,0.0000
640337808,CMD,3,0.0000
647329378,CMD,0,5.0000
647329378,CMD,1,0.0000
647329378,CMD,2,0.0000
647329378,CMD,3,0.0000
653331906,CMD,0,5.0000
653331906,CMD,1,0.0000
653331906,CMD,2,0.0000
653331906,CMD,3,0.0000
659331515,CMD,0,5.0000
659331515,CMD,1,0.0000
659331515,CMD,2,0.0000
659331515,CMD,3,0.0000
665341106,CMD,0,5.0000
665341106,CMD,1,0.0000
665341106,CMD,2,0.0000
665341106,CMD,3,0.0000
671329226,CMD,0,5.0000
671329226,CMD,1,0.0000
671329226,CMD,2,0.0000
671329226,CMD,3,0.0000
677337345,CMD,0,5.0000
677337345,CMD,1,0.0000
677337345,CMD,2,0.0000
677337345,CMD,3,0.0000
683326638,CMD,0,5.0000
683326638,CMD,1,0.0000
683326638,CMD,2,0.0000
683326638,CMD,3,0.0000
689341167,CMD,0,5.0000
689341167,CMD,1,0.0000
689341167,CMD,2,0.0000
689341167,CMD,3,0.0000
695328259,CMD,0,5.0000
695328259,CMD,1,0.0000
695328259,CMD,2,0.0000
695328259,CMD,3,0.0000
701335534,CMD,0,5.0000
701335534,CMD,1,0.0000
701335534,CMD,2,0.0000
701335534,CMD,3,0.0000
707331168,CMD,0,5.0000
707331168,CMD,1,0.0000
707331168,CMD,2,0.0000
707331168,CMD,3,0.0000
714324322,CMD,0,5.0000
714324322,CMD,1,0.0000
714324322,CMD,2,0.0000
714324322,CMD,3,0.0000
720330002,CMD,0,5.0000
720330002,CMD,1,0.0000
720330002,CMD,2,0.0000
720330002,CMD,3,0.0000
726340642,CMD,0,5.0000
726340642,CMD,1,0.0000
726340642,CMD,2,0.0000
726340642,CMD,3,0.0000
732332844,CMD,0,5.0000
732332844,CMD,1,0.0000
732332844,CMD,2,0.0000
732332844,CMD,3,0.0000
738326994,CMD,0,5.0000
738326994,CMD,1,0.0000
738326994,CMD,2,0.0000
738326994,CMD,3,0.0000
744343172,CMD,0,5.0000
744343172,CMD,1,0.0000
744343172,CMD,2,0.0000
744343172,CMD,3,0.0000
750319925,CMD,0,5.0000
750319925,CMD,1,0.0000
750319925,CMD,2,0.0000
750319925,CMD,3,0.0000
756346025,CMD,0,5.0000
756346025,CMD,1,0.0000
756346025,CMD,2,0.0000
756346025,CMD,3,0.0000
762341705,CMD,0,5.0000
762341705,CMD,1,0.0000
762341705,CMD,2,0.0000
762341705,CMD,3,0.0000
768354150,CMD,0,5.0000
768354150,CMD,1,0.0000
768354150,CMD,2,0.0000
768354150,CMD,3,0.0000
775337359,CMD,0,5.0000
775337359,CMD,1,0.0000
775337359,CMD,2,0.0000
775337359,CMD,3,0.0000
781318035,CMD,0,5.0000
781318035,CMD,1,0.0000
781318035,CMD,2,0.0000
