t_rel_ns,kind,slot,value_deg
1047185906,CMD,3,0.0000
1053181407,CMD,0,-15.0000
1053181407,CMD,1,0.0000
1053181407,CMD,2,0.0000
1053181407,CMD,3,0.0000
1059173503,CMD,0,-15.0000
1059173503,CMD,1,0.0000
1059173503,CMD,2,0.0000
1059173503,CMD,3,0.0000
1064267107,CMD,0,-15.0000
1064267107,CMD,1,0.0000
1064267107,CMD,2,0.0000
1064267107,CMD,3,0.0000
1068412472,CMD,0,-15.0000
1068412472,CMD,1,0.0000
1068412472,CMD,2,0.0000
1068412472,CMD,3,0.0000
1072352960,CMD,0,-15.0000
1072352960,CMD,1,0.0000
1072352960,CMD,2,0.0000
1072352960,CMD,3,0.0000
1076486685,CMD,0,-15.0000
1076486685,CMD,1,0.0000
1076486685,CMD,2,0.0000
1076486685,CMD,3,0.0000
1080200091,CMD,0,-15.0000
1080200091,CMD,1,0.0000
1080200091,CMD,2,0.0000
1080200091,CMD,3,0.0000
1085163632,CMD,0,-15.0000
1085163632,CMD,1,0.0000
1085163632,CMD,2,0.0000
1085163632,CMD,3,0.0000
1091173924,CMD,0,-15.0000
1091173924,CMD,1,0.0000
1091173924,CMD,2,0.0000
1091173924,CMD,3,0.0000
1097179401,CMD,0,-15.0000
1097179401,CMD,1,0.0000
1097179401,CMD,2,0.0000
1097179401,CMD,3,0.0000
1103177576,CMD,0,-15.0000
1103177576,CMD,1,0.0000
1103177576,CMD,2,0.0000
1103177576,CMD,3,0.0000
1109168635,CMD,0,-15.0000
1109168635,CMD,1,0.0000
1109168635,CMD,2,0.0000
1109168635,CMD,3,0.0000
1115302325,CMD,0,-15.0000
1115302325,CMD,1,0.0000
1115302325,CMD,2,0.0000
1115302325,CMD,3,0.0000
1121165882,CMD,0,-15.0000
1121165882,CMD,1,0.0000
1121165882,CMD,2,0.0000
1121165882,CMD,3,0.0000
1127169660,CMD,0,-15.0000
1127169660,CMD,1,0.0000
1127169660,CMD,2,0.0000
1127169660,CMD,3,0.0000
1133176753,CMD,0,-15.0000
1133176753,CMD,1,0.0000
1133176753,CMD,2,0.0000
1133176753,CMD,3,0.0000
1139138350,CMD,0,-15.0000
1139138350,CMD,1,0.0000
1139138350,CMD,2,0.0000
1139138350,CMD,3,0.0000
1147188039,CMD,0,-15.0000
1147188039,CMD,1,0.0000
1147188039,CMD,2,0.0000
1147188039,CMD,3,0.0000
1153181284,CMD,0,-15.0000
1153181284,CMD,1,0.0000
1153181284,CMD,2,0.0000
1153181284,CMD,3,0.0000
1159178043,CMD,0,-15.0000
1159178043,CMD,1,0.0000
1159178043,CMD,2,0.0000
1159178043,CMD,3,0.0000
1165166376,CMD,0,-15.0000
1165166376,CMD,1,0.0000
1165166376,CMD,2,0.0000
1165166376,CMD,3,0.0000
1171173795,CMD,0,-15.0000
1171173795,CMD,1,0.0000
1171173795,CMD,2,0.0000
1171173795,CMD,3,0.0000
1177179620,CMD,0,-15.0000
1177179620,CMD,1,0.0000
1177179620,CMD,2,0.0000
1177179620,CMD,3,0.0000
1183173867,CMD,0,-15.0000
1183173867,CMD,1,0.0000
1183173867,CMD,2,0.0000
1183173867,CMD,3,0.0000
1189363890,CMD,0,-15.0000
1189363890,CMD,1,0.0000
1189363890,CMD,2,0.0000
1189363890,CMD,3,0.0000
1195176152,CMD,0,-15.0000
1195176152,CMD,1,0.0000
1195176152,CMD,2,0.0000
1195176152,CMD,3,0.0000
1201174091,CMD,0,-15.0000
1201174091,CMD,1,0.0000
1201174091,CMD,2,0.0000
1201174091,CMD,3,0.0000
1207366561,CMD,0,-15.0000
1207366561,CMD,1,0.0000
1207366561,CMD,2,0.0000
1207366561,CMD,3,0.0000
1215398417,CMD,0,-15.0000
1215398417,CMD,1,0.0000
1215398417,CMD,2,0.0000
1215398417,CMD,3,0.0000
1221182594,CMD,0,-15.0000
1221182594,CMD,1,0.0000
1221182594,CMD,2,0.0000
1221182594,CMD,3,0.0000
1226171958,CMD,0,-15.0000
1226171958,CMD,1,0.0000
1226171958,CMD,2,0.0000
1226171958,CMD,3,0.0000
1234166383,CMD,0,-15.0000
1234166383,CMD,1,0.0000
1234166383,CMD,2,0.0000
1234166383,CMD,3,0.0000
1240175002,CMD,0,-15.0000
1240175002,CMD,1,0.0000
1240175002,CMD,2,0.0000
1240175002,CMD,3,0.0000
1246176084,CMD,0,-15.0000
1246176084,CMD,1,0.0000
1246176084,CMD,2,0.0000
1246176084,CMD,3,0.0000
1252167541,CMD,0,-15.0000
1252167541,CMD,1,0.0000
1252167541,CMD,2,0.0000
1252167541,CMD,3,0.0000
1258182787,CMD,0,-15.0000
1258182787,CMD,1,0.0000
1258182787,CMD,2,0.0000
1258182787,CMD,3,0.0000
1264181881,CMD,0,-15.0000
1264181881,CMD,1,0.0000
1264181881,CMD,2,0.0000
1264181881,CMD,3,0.0000
1270177575,CMD,0,-15.0000
1270177575,CMD,1,0.0000
1270177575,CMD,2,0.0000
1270177575,CMD,3,0.0000
1280190039,CMD,0,-15.0000
1280190039,CMD,1,0.0000
1280190039,CMD,2,0.0000
1280190039,CMD,3,0.0000
1286174978,CMD,0,-15.0000
1286174978,CMD,1,0.0000
1286174978,CMD,2,0.0000
1286174978,CMD,3,0.0000
1290183514,CMD,0,-15.0000
1290183514,CMD,1,0.0000
1290183514,CMD,2,0.0000
1290183514,CMD,3,0.0000
1294170005,CMD,0,-15.0000
1294170005,CMD,1,0.0000
1294170005,CMD,2,0.0000
1294170005,CMD,3,0.0000
1298161983,CMD,0,-15.0000
1298161983,CMD,1,0.0000
1298161983,CMD,2,0.0000
1298161983,CMD,3,0.0000
1303198727,CMD,0,-15.0000
1303198727,CMD,1,0.0000
1303198727,CMD,2,0.0000
1303198727,CMD,3,0.0000
1309188890,CMD,0,-15.0000
1309188890,CMD,1,0.0000
1309188890,CMD,2,0.0000
1309188890,CMD,3,0.0000
1315286748,CMD,0,-15.0000
1315286748,CMD,1,0.0000
1315286748,CMD,2,0.0000
1315286748,CMD,3,0.0000
1321184139,CMD,0,-15.0000
1321184139,CMD,1,0.0000
1321184139,CMD,2,0.0000
1321184139,CMD,3,0.0000
1327364060,CMD,0,-15.0000
1327364060,CMD,1,0.0000
1327364060,CMD,2,0.0000
1327364060,CMD,3,0.0000
1333166823,CMD,0,-15.0000
1333166823,CMD,1,0.0000
