t_wall_s,cpu_load_permille,voltage_mV,current_cA,battery_pct,drop_rate,errors_comm
120.231364,1180,65535,-1,-1,0,0
120.737330,1140,65535,-1,-1,0,0
121.239252,1140,65535,-1,-1,0,0
121.734520,1200,65535,-1,-1,0,0
122.237006,1180,65535,-1,-1,0,0
122.739731,1160,65535,-1,-1,0,0
123.230384,1180,65535,-1,-1,0,0
123.739819,1080,65535,-1,-1,0,0
124.238449,1180,65535,-1,-1,0,0
124.741640,1100,65535,-1,-1,0,0
125.238271,1180,65535,-1,-1,0,0
125.738883,1120,65535,-1,-1,0,0
126.238084,1120,65535,-1,-1,0,0
126.733178,1120,65535,-1,-1,0,0
127.239601,1160,65535,-1,-1,0,0
127.739200,1060,65535,-1,-1,0,0
128.239146,1180,65535,-1,-1,0,0
128.730384,1140,65535,-1,-1,0,0
129.238896,1140,65535,-1,-1,0,0
129.740963,1160,65535,-1,-1,0,0
130.230678,1120,65535,-1,-1,0,0
130.739345,1200,65535,-1,-1,0,0
131.237162,1160,65535,-1,-1,0,0
131.741105,1160,65535,-1,-1,0,0
132.238847,1060,65535,-1,-1,0,0
