time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q0,q1,q2,q3,omega_x,omega_y,omega_z,mass,altitude,ground_range,alpha,beta,mach,fin_cmd_1,fin_cmd_2,fin_cmd_3,fin_cmd_4,fin_act_1,fin_act_2,fin_act_3,fin_act_4,fin_can_1,fin_can_2,fin_can_3,fin_can_4,fin_source,force_x,force_y,force_z,lat,lon,alt_msl
7.580000,4393327.962621,4259722.418479,1797044.862594,-42.094199,-40.798269,208.821368,0.99994214,0.00000109,0.01073447,-0.00069479,-0.00015729,0.01899782,-0.00079903,11.1100,1337.5285,1385.3605,0.00739590,0.00145448,0.633366,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-114.5578,-5.5370,-41.5760,16.46999059,44.11540726,1337.5285
7.590000,4393327.541596,4259722.010382,1797046.950225,-42.110757,-40.820812,208.704983,0.99994142,0.00000002,0.01080174,-0.00069822,-0.00013337,0.00764051,-0.00062931,11.1100,1337.5587,1387.5293,0.00791142,0.00144165,0.633060,0.00498493,0.00674095,-0.00498514,-0.00674116,0.00269211,0.00447509,-0.00269292,-0.00447591,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-114.4255,-5.4681,-44.0678,16.47001019,44.11540726,1337.5587
7.600000,4393327.120422,4259721.602077,1797049.036700,-42.123947,-40.840015,208.590007,0.99994089,-0.00000096,0.01085025,-0.00070075,-0.00012130,0.01148908,-0.00043665,11.1100,1337.5882,1389.6970,0.00831354,0.00142706,0.632755,0.00498493,0.00674095,-0.00498514,-0.00674116,0.00498493,0.00674095,-0.00498514,-0.00674116,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-114.2935,-5.4137,-49.8285,16.47002978,44.11540726,1337.5882
7.610000,4393326.699120,4259721.193585,1797051.122027,-42.136204,-40.858204,208.475524,0.99994020,-0.00000187,0.01091378,-0.00070251,-0.00011001,0.01363898,-0.00032495,11.1100,1337.6173,1391.8637,0.00865558,0.00141088,0.632451,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00498493,0.00674095,-0.00498514,-0.00674116,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-114.1617,-5.3292,-51.3935,16.47004936,44.11540726,1337.6173
7.620000,4393326.277707,4259720.784922,1797053.206214,-42.146295,-40.874289,208.361977,0.99993921,-0.00000268,0.01100334,-0.00070293,-0.00009854,0.02185007,0.00009860,11.1100,1337.6457,1394.0294,0.00902117,0.00139352,0.632146,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-114.0301,-5.3323,-54.8744,16.47006893,44.11540726,1337.6457
7.630000,4393325.856198,4259720.376104,1797055.289269,-42.155251,-40.889133,208.248997,0.99993783,-0.00000340,0.01112866,-0.00070149,-0.00008780,0.02790624,0.00041421,11.1100,1337.6737,1396.1940,0.00942445,0.00137346,0.631842,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-113.8988,-5.2280,-56.6990,16.47008849,44.11540726,1337.6737
7.640000,4393325.434606,4259719.967144,1797057.371196,-42.162922,-40.902576,208.136640,0.99993615,-0.00000403,0.01127846,-0.00069878,-0.00007776,0.03161983,0.00061207,11.1100,1337.7012,1398.3576,0.00989130,0.00135013,0.631538,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-113.7676,-5.1089,-58.8366,16.47010804,44.11540726,1337.7012
7.650000,4393325.012944,4259719.558057,1797059.452004,-42.169225,-40.914532,208.024935,0.99993431,-0.00000459,0.01144080,-0.00069537,-0.00006838,0.03291709,0.00068812,11.1100,1337.7282,1400.5202,0.01039808,0.00132473,0.631234,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-113.6367,-4.9808,-61.1740,16.47012758,44.11540726,1337.7282
7.660000,4393324.591226,4259719.148858,1797061.531697,-42.174147,-40.924986,207.913884,0.99993244,-0.00000511,0.01160363,-0.00069189,-0.00005960,0.03183644,0.00064391,11.1100,1337.7547,1402.6817,0.01092034,0.00129848,0.630931,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-113.5060,-4.8496,-63.5937,16.47014712,44.11540726,1337.7547
7.670000,4393324.169466,4259718.739562,1797063.610283,-42.177738,-40.933994,207.803466,0.99993067,-0.00000560,0.01175540,-0.00068892,-0.00005139,0.02852189,0.00048638,11.1100,1337.7808,1404.8422,0.01143389,0.00127259,0.630628,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00611839,0.00776314,-0.00611865,-0.00776340,0.00000000,0.00000000,0.00000000,0.00000000,cmd,-113.3755,-4.7211,-65.9796,16.47016664,44.11540725,1337.7808
