t_sim,cmd_1_deg,cmd_2_deg,cmd_3_deg,cmd_4_deg,fb_1_deg,fb_2_deg,fb_3_deg,fb_4_deg,err_1_deg,err_2_deg,err_3_deg,err_4_deg,online_mask,tx_fail
710991.249775,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.1111,-0.1667,0.0556,0.1111,0.1111,0.1667,15,0
710991.286624,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.1111,-0.1667,0.0556,0.1111,0.1111,0.1667,15,0
710991.323601,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.1111,-0.1667,0.0556,0.1111,0.1111,0.1667,15,0
710991.355181,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.1111,-0.1667,0.1111,0.1111,0.1111,0.1667,15,0
710991.391777,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.1111,-0.1667,0.1111,0.1111,0.1111,0.1667,15,0
710991.428449,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.1111,-0.1667,0.0556,0.1111,0.1111,0.1667,15,0
710991.465092,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.1111,-0.1667,0.1111,0.1111,0.1111,0.1667,15,0
710991.496937,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.0556,-0.1111,-0.1667,0.0556,0.0556,0.1111,0.1667,15,0
710991.533893,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.1111,-0.1667,0.0556,0.1111,0.1111,0.1667,15,0
710991.570660,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.1111,-0.1667,0.0556,0.1111,0.1111,0.1667,15,0
710991.607544,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.1111,-0.1111,0.1111,0.1111,0.1111,0.1111,15,0
710991.655059,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.1111,-0.1111,0.0556,0.1111,0.1111,0.1111,15,0
710991.692620,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.1111,-0.1667,0.0556,0.1111,0.1111,0.1667,15,0
710991.750876,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.1111,-0.1667,0.1111,0.1111,0.1111,0.1667,15,0
710991.787694,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.1111,-0.1667,0.1111,0.1111,0.1111,0.1667,15,0
710991.819120,0.0000,0.0000,0.0000,0.0000,-0.0556,-0.1111,-0.1111,-0.1111,0.0556,0.1111,0.1111,0.1111,15,0
710991.892746,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.1111,-0.1667,0.1111,0.1111,0.1111,0.1667,15,0
710991.929336,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.0556,-0.1111,-0.1667,0.1111,0.0556,0.1111,0.1667,15,0
