t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
45.944534,16993858,780.1159,0.0000,41.30
46.043343,16993940,780.1194,0.0000,41.30
46.143761,16994058,780.1162,0.0000,41.30
46.242775,16994139,780.1301,0.0000,41.30
46.343693,16994259,780.1340,0.0000,41.30
46.445071,16994341,780.1147,0.0000,41.30
46.543957,16994458,780.1125,0.0000,41.30
46.643938,16994538,780.1155,0.0000,41.30
46.743363,16994660,780.1123,0.0000,41.30
46.838391,16994739,780.1155,0.0000,41.30
46.943080,16994859,780.1181,0.0000,41.30
47.043895,16994938,780.1052,0.0000,41.30
47.142299,16995057,780.1157,0.0000,41.30
47.243172,16995139,780.1116,0.0000,41.30
47.344486,16995258,780.1081,0.0000,41.30
47.443178,16995339,780.1094,0.0000,41.30
47.543893,16995460,780.1189,0.0000,41.30
47.643763,16995540,780.1194,0.0000,41.30
47.743637,16995658,780.1259,0.0000,41.30
47.842311,16995738,780.1240,0.0000,41.30
47.944317,16995861,780.1296,0.0000,41.30
48.043603,16995938,780.1348,0.0000,41.30
48.144033,16996062,780.1204,0.0000,41.30
48.244460,16996140,780.1345,0.0000,41.30
48.342752,16996259,780.1343,0.0000,41.30
48.443098,16996339,780.1326,0.0000,41.30
48.543391,16996460,780.1371,0.0000,41.30
48.643715,16996542,780.1284,0.0000,41.30
48.738205,16996659,780.1458,0.0000,41.30
48.843546,16996740,780.1348,0.0000,41.00
48.943759,16996859,780.1304,0.0000,41.00
49.043444,16996938,780.1250,0.0000,41.00
49.138630,16997061,780.1254,0.0000,41.00
49.238202,16997142,780.1250,0.0000,41.00
49.343378,16997259,780.1201,0.0000,41.00
49.444615,16997338,780.1309,0.0000,41.00
49.539093,16997459,780.1309,0.0000,41.00
49.643096,16997540,780.1374,0.0000,41.00
49.743087,16997658,780.1343,0.0000,41.00
49.843728,16997741,780.1262,0.0000,41.00
49.942745,16997861,780.1169,0.0000,41.00
50.043416,16997937,780.1250,0.0000,41.00
50.142785,16998058,780.1196,0.0000,41.00
50.243279,16998139,780.1228,0.0000,41.00
50.343202,16998258,780.1152,0.0000,41.00
50.443664,16998338,780.1106,0.0000,41.00
50.543777,16998458,780.1077,0.0000,41.00
50.643338,16998540,780.1187,0.0000,41.00
50.743261,16998661,780.1194,0.0000,41.00
50.843724,16998739,780.1206,0.0000,41.00
50.943846,16998860,780.1206,0.0000,41.00
51.039751,16998941,780.1218,0.0000,41.00
51.143316,16999062,780.1301,0.0000,41.00
51.243648,16999138,780.1220,0.0000,41.00
51.342279,16999258,780.1128,0.0000,41.00
51.442542,16999339,780.1150,0.0000,41.00
51.543479,16999460,780.1057,0.0000,41.00
51.642359,16999538,780.1108,0.0000,41.00
51.742695,16999659,780.1211,0.0000,41.00
51.842817,16999738,780.1179,0.0000,41.00
51.943162,16999859,780.1198,0.0000,41.00
52.042006,16999938,780.1191,0.0000,41.00
52.142844,17000060,780.1223,0.0000,41.00
52.238373,17000139,780.1194,0.0000,41.00
52.343151,17000261,780.1289,0.0000,41.00
52.443635,17000339,780.1226,0.0000,41.00
52.543036,17000459,780.1213,0.0000,41.00
52.643996,17000539,780.1270,0.0000,41.00
52.743101,17000661,780.1223,0.0000,41.00
52.844483,17000740,780.1218,0.0000,41.30
52.943050,17000859,780.1130,0.0000,41.30
53.042653,17000938,780.1098,0.0000,41.30
53.143462,17001060,780.1176,0.0000,41.30
53.242266,17001141,780.1159,0.0000,41.30
53.343573,17001259,780.1152,0.0000,41.30
53.441862,17001338,780.1091,0.0000,41.30
53.537673,17001460,780.1003,0.0000,41.30
53.643009,17001541,780.1084,0.0000,41.30
53.745137,17001658,780.1165,0.0000,41.30
53.843852,17001740,780.1155,0.0000,41.30
53.943090,17001860,780.1198,0.0000,41.30
54.038784,17001955,780.1259,0.0000,41.30
54.142023,17002060,780.1226,0.0000,41.30
54.242187,17002138,780.1184,0.0000,41.30
54.342408,17002259,780.1208,0.0000,41.30
54.444670,17002341,780.1272,0.0000,41.30
54.540315,17002458,780.1272,0.0000,41.30
54.642276,17002540,780.1237,0.0000,41.30
54.742852,17002659,780.1211,0.0000,41.30
54.842069,17002738,780.1198,0.0000,41.30
54.941991,17002860,780.1189,0.0000,41.30
55.042745,17002938,780.1145,0.0000,41.30
55.142019,17003061,780.1074,0.0000,41.30
55.243638,17003138,780.1240,0.0000,41.30
55.342780,17003260,780.1167,0.0000,41.30
55.442104,17003339,780.1130,0.0000,41.30
55.542870,17003459,780.1272,0.0000,41.30
55.642210,17003541,780.1259,0.0000,41.30
55.742377,17003660,780.1270,0.0000,41.30
55.843626,17003740,780.1328,0.0000,41.30
55.944009,17003859,780.1187,0.0000,41.30
56.038707,17003939,780.1176,0.0000,41.30
56.138220,17004058,780.1352,0.0000,41.30
56.241989,17004140,780.1276,0.0000,41.30
56.342281,17004259,780.1157,0.0000,41.30
56.441772,17004338,780.1133,0.0000,41.30
56.538301,17004461,780.1155,0.0000,41.30
56.642513,17004540,780.1196,0.0000,41.30
56.737547,17004660,780.1240,0.0000,41.30
56.843962,17004738,780.1292,0.0000,41.30
56.944718,17004859,780.1406,0.0000,41.30
57.039346,17004940,780.1328,0.0000,41.30
57.142209,17005060,780.1282,0.0000,41.30
57.243935,17005138,780.1248,0.0000,41.30
57.342676,17005258,780.1326,0.0000,41.30
57.443808,17005339,780.1328,0.0000,41.30
57.543994,17005461,780.1245,0.0000,41.30
57.643054,17005542,780.1248,0.0000,41.30
57.742336,17005661,780.1159,0.0000,41.30
57.842215,17005738,780.1152,0.0000,41.30
57.943503,17005862,780.1252,0.0000,41.30
58.041885,17005938,780.1257,0.0000,41.30
58.142662,17006061,780.1374,0.0000,41.30
58.242238,17006139,780.1311,0.0000,41.30
58.342762,17006258,780.1306,0.0000,41.30
58.405403,17006341,780.1345,0.0000,41.30
58.541731,17006459,780.1301,0.0000,41.30
58.642872,17006540,780.1335,0.0000,41.30
58.742131,17006657,780.1259,0.0000,41.30
58.842949,17006738,780.1287,0.0000,41.70
58.942901,17006858,780.1228,0.0000,41.70
59.042329,17006938,780.1206,0.0000,41.70
59.139076,17007061,780.1157,0.0000,41.70
59.243735,17007138,780.1145,0.0000,41.70
59.343346,17007260,780.1184,0.0000,41.70
59.412760,17007339,780.1270,0.0000,41.70
59.543104,17007460,780.1196,0.0000,41.70
59.641807,17007540,780.1169,0.0000,41.70
59.741948,17007661,780.1140,0.0000,41.70
59.842331,17007741,780.1135,0.0000,41.70
59.941955,17007859,780.1145,0.0000,41.70
60.042921,17007939,780.1016,0.0000,41.70
