t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
35.754451,9817243,778.8915,0.0000,41.30
35.854433,9817364,778.8913,0.0000,41.30
35.954455,9817442,778.8958,0.0000,41.30
36.055007,9817562,778.8972,0.0000,41.30
36.154949,9817643,778.9053,0.0000,41.30
36.254162,9817764,778.9021,0.0000,43.00
36.355355,9817844,778.9023,0.0000,43.00
36.454918,9817963,778.9047,0.0000,43.00
36.553031,9818046,778.8950,0.0000,43.00
36.651471,9818164,778.8893,0.0000,43.00
36.755446,9818244,778.8960,0.0000,43.00
36.853440,9818363,778.9004,0.0000,43.00
36.953024,9818443,778.8960,0.0000,43.00
37.054512,9818563,778.8809,0.0000,43.00
37.153119,9818641,778.8823,0.0000,43.00
37.254415,9818763,778.8823,0.0000,43.00
37.354548,9818843,778.8909,0.0000,43.00
37.453902,9818963,778.8923,0.0000,43.00
37.553040,9819043,778.8943,0.0000,43.00
37.653721,9819164,778.8958,0.0000,43.00
37.753476,9819244,778.8967,0.0000,43.00
37.853521,9819364,778.8854,0.0000,43.00
37.954095,9819443,778.8815,0.0000,43.00
38.055465,9819568,778.8796,0.0000,43.00
38.153924,9819642,778.8923,0.0000,43.00
38.254998,9819764,778.8867,0.0000,43.00
38.353408,9819842,778.8943,0.0000,43.00
38.454904,9819963,778.8984,0.0000,43.00
38.553756,9820044,778.8930,0.0000,43.00
38.651912,9820162,778.8857,0.0000,43.00
38.753498,9820243,778.8850,0.0000,43.00
38.854960,9820365,778.9016,0.0000,43.00
38.955259,9820442,778.8930,0.0000,43.00
39.054525,9820564,778.8938,0.0000,43.00
39.154058,9820643,778.8909,0.0000,43.00
39.250942,9820764,778.8854,0.0000,43.00
39.354769,9820844,778.8865,0.0000,43.00
39.454006,9820962,778.8871,0.0000,43.00
39.556339,9821044,778.8871,0.0000,43.00
39.654630,9821162,778.8832,0.0000,43.00
39.754318,9821244,778.8870,0.0000,43.00
39.855842,9821363,778.8876,0.0000,43.00
39.954939,9821444,778.8948,0.0000,43.00
40.054299,9821562,778.8977,0.0000,43.00
40.153843,9821643,778.8984,0.0000,43.00
40.254420,9821765,778.9036,0.0000,42.30
40.354864,9821845,778.8945,0.0000,42.30
40.454681,9821966,778.8975,0.0000,42.30
40.554979,9822042,778.8913,0.0000,42.30
40.657972,9822164,778.8950,0.0000,42.30
40.752867,9822243,778.8923,0.0000,42.30
40.856302,9822364,778.9019,0.0000,42.30
40.954846,9822444,778.8930,0.0000,42.30
41.054661,9822566,778.8932,0.0000,42.30
41.155093,9822643,778.8960,0.0000,42.30
41.254438,9822764,778.8891,0.0000,42.30
41.355507,9822843,778.8958,0.0000,42.30
41.454137,9822963,778.8958,0.0000,42.30
41.555585,9823043,778.8997,0.0000,42.30
41.654987,9823162,778.9011,0.0000,42.30
41.754935,9823244,778.9097,0.0000,42.30
41.856646,9823363,778.9041,0.0000,42.30
41.958762,9823443,778.8989,0.0000,42.30
42.047473,9823564,778.8943,0.0000,42.30
42.154192,9823645,778.8977,0.0000,42.30
42.254721,9823763,778.8893,0.0000,41.70
42.354685,9823846,778.8940,0.0000,41.70
42.451484,9823923,778.9019,0.0000,41.70
42.548028,9824043,778.9014,0.0000,41.70
42.655494,9824166,778.8999,0.0000,41.70
42.754806,9824242,778.8984,0.0000,41.70
42.854149,9824364,778.8945,0.0000,41.70
42.954421,9824442,778.9033,0.0000,41.70
43.056020,9824564,778.9089,0.0000,41.70
43.147702,9824645,778.9030,0.0000,41.70
43.253982,9824763,778.9026,0.0000,41.70
43.354908,9824845,778.8965,0.0000,41.70
43.454909,9824963,778.9069,0.0000,41.70
43.553876,9825044,778.9028,0.0000,41.70
43.655452,9825164,778.9114,0.0000,41.70
43.753408,9825244,778.9014,0.0000,41.70
43.855863,9825363,778.9072,0.0000,41.70
43.954886,9825443,778.9092,0.0000,41.70
44.054502,9825563,778.8952,0.0000,41.70
44.154570,9825646,778.9030,0.0000,41.70
44.255259,9825765,778.8891,0.0000,42.00
44.354168,9825843,778.8889,0.0000,42.00
44.455650,9825963,778.8962,0.0000,42.00
44.554443,9826044,778.9097,0.0000,42.00
44.655180,9826166,778.8893,0.0000,42.00
44.754461,9826242,778.8967,0.0000,42.00
44.856478,9826365,778.8962,0.0000,42.00
44.953861,9826442,778.8928,0.0000,42.00
45.054784,9826564,778.8930,0.0000,42.00
45.153588,9826644,778.8945,0.0000,42.00
45.254775,9826762,778.8926,0.0000,42.00
45.357513,9826843,778.9001,0.0000,42.00
45.457731,9826963,778.8932,0.0000,42.00
45.551464,9827043,778.8960,0.0000,42.00
45.646642,9827164,778.8921,0.0000,42.00
45.754490,9827244,778.8871,0.0000,42.00
45.855142,9827363,778.8918,0.0000,42.00
45.953884,9827446,778.8889,0.0000,42.00
46.054206,9827563,778.8948,0.0000,42.00
46.154531,9827644,778.8882,0.0000,42.00
46.247787,9827766,778.8843,0.0000,41.30
46.354005,9827844,778.8965,0.0000,41.30
46.446569,9827964,778.8818,0.0000,41.30
