t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
36.374389,0,0,93
36.427449,0,0,169
36.453441,0,0,302
36.488094,0,0,65
36.513769,0,0,113
36.553334,0,0,13
36.598588,0,0,260
36.648739,0,0,118
36.680243,0,0,63
36.712313,0,0,154
36.748493,0,0,102
36.794785,0,0,15
36.834509,0,0,149
36.875774,0,0,96
36.914426,0,0,112
36.954774,0,0,258
36.987322,0,0,105
37.036688,0,0,292
37.074333,0,0,12
37.114851,0,0,62
37.154708,0,0,12
37.197376,0,0,862
37.245805,0,0,82
37.280899,0,0,13
37.315547,0,0,15
37.369129,0,0,66
37.372549,0,0,57
37.435014,0,0,13
37.481477,0,0,140
37.514841,0,0,123
37.553712,0,0,158
37.597684,0,0,58
37.633690,0,0,59
37.680259,0,0,116
37.715058,0,0,109
37.755744,0,0,81
37.798493,0,0,14
37.833550,0,0,12
37.889030,0,0,248
37.928281,0,0,60
37.973939,0,0,95
38.014827,0,0,14
38.055716,0,0,17
38.098701,0,0,73
38.133473,0,0,13
38.180038,0,0,363
38.215788,0,0,92
38.249033,0,0,12
38.279559,0,0,230
38.314940,0,0,122
38.354752,0,0,59
38.374361,0,0,128
38.433861,0,0,12
38.467634,0,0,15
38.515565,0,0,57
38.554283,0,0,118
38.597983,0,0,67
38.634165,0,0,106
38.688516,0,0,89
38.733541,0,0,16
38.777412,0,0,14
38.811917,0,0,83
38.852482,0,0,59
38.890336,0,0,100
38.935385,0,0,77
38.969680,0,0,250
39.008754,0,0,81
39.034945,0,0,321
39.078747,0,0,65
39.114922,0,0,9
39.154416,0,0,66
39.208069,0,0,107
39.249685,0,0,14
39.288465,0,0,393
39.328632,0,0,82
39.369092,0,0,111
39.381050,0,0,14
39.455194,0,0,150
39.489419,0,0,51
39.515246,0,0,164
39.549023,0,0,66
39.594740,0,0,92
39.627534,0,0,202
39.654982,0,0,64
39.700313,0,0,14
39.747342,0,0,173
39.780230,0,0,57
39.808761,0,0,223
39.849945,0,0,101
39.889482,0,0,326
39.929119,0,0,106
39.974159,0,0,116
40.014307,0,0,124
40.053813,0,0,11
40.097763,0,0,281
40.129101,0,0,74
40.169823,0,0,184
40.208475,0,0,222
40.246191,0,0,78
40.294486,0,0,39
40.334327,0,0,60
40.368816,0,0,98
40.388109,0,0,62
40.388109,0,0,110
40.453994,0,0,122
40.497985,0,0,112
40.515836,0,0,93
40.553605,0,0,13
40.599163,0,0,141
40.633479,0,0,150
40.681202,0,0,115
40.728718,0,0,165
40.767458,0,0,56
40.810782,0,0,289
40.849314,0,0,409
40.879869,0,0,16
40.915564,0,0,14
40.953516,0,0,10
40.999025,0,0,18
41.048660,0,0,11
41.089995,0,0,119
41.128035,0,0,434
41.169462,0,0,1329
41.213155,0,0,161
41.248929,0,0,99
41.287985,0,0,74
41.334489,0,0,114
41.378184,0,0,320
41.389177,0,0,19
41.467798,0,0,94
41.514058,0,0,94
41.553530,0,0,83
41.594779,0,0,11
41.633951,0,0,13
41.674434,0,0,13
41.707326,0,0,61
41.749291,0,0,483
41.788168,0,0,16
41.833483,0,0,10
41.875379,0,0,60
41.915360,0,0,126
41.953866,0,0,12
41.999172,0,0,123
42.035366,0,0,14
42.079385,0,0,266
42.114730,0,0,96
42.153977,0,0,111
42.198305,0,0,140
42.234787,0,0,13
42.279806,0,0,82
42.313838,0,0,92
42.350433,0,0,17
42.395021,0,0,72
42.395021,0,0,147
42.468096,0,0,51
42.514713,0,0,13
42.554538,0,0,642
42.599470,0,0,169
42.647306,0,0,16
42.679437,0,0,107
42.715827,0,0,59
42.749773,0,0,16
42.787836,0,0,114
42.829179,0,0,103
42.869066,0,0,100
42.898173,0,0,222
42.933853,0,0,77
42.978638,0,0,1202
43.008833,0,0,454
43.048718,0,0,61
43.088945,0,0,17
43.114230,0,0,100
43.154478,0,0,239
43.187234,0,0,13
43.214720,0,0,170
43.247904,0,0,113
43.288865,0,0,67
43.334775,0,0,64
43.381470,0,0,100
43.393637,0,0,13
43.469372,0,0,13
43.507935,0,0,58
43.534452,0,0,11
43.568612,0,0,109
43.599303,0,0,175
43.645418,0,0,107
43.680051,0,0,14
43.708580,0,0,210
43.754531,0,0,14
43.797765,0,0,217
43.834067,0,0,10
43.869346,0,0,61
43.899820,0,0,62
43.935247,0,0,108
43.980298,0,0,248
44.018560,0,0,67
44.048124,0,0,87
44.080060,0,0,141
44.112590,0,0,365
44.147396,0,0,683
44.188760,0,0,374
44.214723,0,0,10
44.253293,0,0,14
44.299305,0,0,12
44.334498,0,0,59
44.379860,0,0,275
44.401205,0,0,628
44.455952,0,0,13
44.515549,0,0,19
44.550641,0,0,95
44.587680,0,0,95
44.635454,0,0,19
44.675216,0,0,20
44.716180,0,0,119
44.754974,0,0,15
44.800072,0,0,78
44.835322,0,0,96
44.879844,0,0,14
